,CIF-B-PR,CIF-B-TR,CIF-C-PR,CIF-C-TR,CIF-R-PR,CIF-R-TR,CIF-X-PR,CIF-X-TR
2022-02-02,91.69050768182859,91.7661192870745,92.88808560752561,92.89442588559919,96.29364721760018,96.31990161389432,93.62408016898473,93.66092632547007
2022-02-03,90.76630853139184,90.8411580056048,90.00375464155356,90.00989804335113,95.9909967240058,96.01716860285224,92.25368663231701,92.28999346457499
2022-02-04,90.09096758411292,90.16526014557228,90.39014313732854,90.39631291291228,95.33044804905437,95.35643982976158,91.9371862568319,91.97336852901577
2022-02-07,89.98830517133801,90.0625130733269,90.37695382593161,90.38312270125024,95.26677469162674,95.2927491118371,91.8773445629654,91.91350328419516
2022-02-08,92.12701783808939,92.20298940680868,92.3553523120968,92.36165622730199,95.09299788295392,95.11892492303762,93.19178934437998,93.22846537096558
2022-02-09,93.63638555374952,93.71360180655634,94.62861415798957,94.63507323962051,96.47367762585377,96.5880312897383,94.91289244586424,94.97959942833256
2022-02-10,91.8802524498502,91.95602052610779,93.22650953505546,93.23287291298941,93.71504787833703,93.90956637407845,92.94060328774752,93.03372227387844
2022-02-11,90.14735904329713,90.22169810737557,91.04130629361312,91.04752051575268,93.56178668342767,93.75598706443978,91.58348400677926,91.6752432688818
2022-02-14,90.36524159689283,90.43976033550956,90.82877748043143,90.83497719595515,92.69723290527514,92.88963878578576,91.29708399419975,91.38855630659619
2022-02-15,93.26752728314915,93.36337211450878,95.342334307912,95.34884210606225,92.60760716657309,92.79982701651267,93.73915625254469,93.83938736006893
2022-02-16,94.18916537404093,94.28595731153672,95.96869885153714,95.97524940356004,92.64065376599615,92.83294220870663,94.26617266385801,94.36696728657377
2022-02-17,91.44885173428841,91.5428276338091,93.58964019612785,93.59602836033395,92.79064506972361,92.98324484005367,92.6097123333799,92.70873577679204
2022-02-18,90.85676194572231,90.95012939396753,92.78426649353693,92.79059968521136,92.19619530178592,92.48457894785523,91.945741247015,92.07636150351439
2022-02-22,88.83715028569043,88.92844231342643,91.3001501130144,91.30638200310118,92.01994247717954,92.30777481598477,90.71908095862807,90.84795859301866
2022-02-23,84.63032881924696,84.71729777650219,89.02526834037816,89.0313449534676,90.74041520035053,91.02424526183694,88.13200411999183,88.25720649291122
2022-02-24,86.15005275805768,86.23858343447576,90.39500666987819,90.40117677743292,92.27811825663194,92.64992883049896,89.60772589485589,89.7627010866612
2022-02-25,86.80317538125765,86.94357694654413,91.23088379413647,91.3013505892405,95.05555815758707,95.43855970004952,91.02987244432703,91.22583453624816
2022-02-28,86.4935744301978,86.63347522511555,90.19309709556705,90.26276230353733,95.61201367951631,95.99725731415455,90.76622840176034,90.96162294111092
2022-03-01,83.92670596482061,84.06245492601984,87.25587343268607,87.32326992715255,95.02436630817608,95.40724217122884,88.73564856856089,88.92667183218359
2022-03-02,86.29752671893166,86.4371104124829,91.48841349031055,91.55907920152258,96.12840007624645,96.51572435498682,91.30478009516285,91.50133398708212
2022-03-03,86.07559617310883,86.21482090057523,89.77226411861115,89.84160427491113,97.41168848689598,97.88972135006878,91.08651625953863,91.31105963652881
2022-03-04,84.28251264997273,84.4188371179471,87.57248837790323,87.64012942596324,98.81020289966096,99.33235716524725,90.22173464251229,90.45653547627278
2022-03-07,82.53576043449823,82.6692595824985,83.3560245861595,83.4204088347924,98.8171836837164,99.33937483867305,88.23632290145802,88.46595672824392
