,SPY,QQQ,SMH,XLU
2023-02-14,87.7908787541713,77.05935136520958,81.13170731707316,98.51469163706814
2023-02-15,88.05339265850945,77.69773106012049,81.14471544715447,99.19276719405877
2023-02-16,86.84315906562847,76.1722856044097,78.96585365853659,98.41782370035519
2023-02-17,86.62736373748609,75.64671196000512,77.86666666666666,99.48337100419761
2023-02-21,84.88542825361513,73.8469426996539,75.54471544715447,97.6428802066516
2023-02-22,84.77196885428253,73.90078195103192,75.1609756097561,97.22311914756216
2023-02-23,85.21245828698554,74.59043712344571,77.79512195121951,96.73877946399742
2023-02-24,84.3270300333704,73.31111395974875,76.44227642276422,96.77106877623507
2023-02-27,84.59399332591768,73.85463402127932,76.7479674796748,96.12528253148209
2023-02-28,84.28921023359288,73.7546468401487,76.85853658536585,94.41394898288667
2023-03-01,83.95995550611791,73.11883091911294,76.87154471544716,92.89635130771715
2023-03-02,84.62291434927697,73.78797590052557,77.4829268292683,94.60768485631256
2023-03-03,85.97330367074527,75.30060248686064,78.58211382113821,96.28672909267033
2023-03-06,86.03114571746384,75.38007947699013,77.93170731707318,96.70649015175977
2023-03-07,84.72080088987764,74.45968465581336,77.03414634146341,95.12431385211495
2023-03-08,84.84538375973304,74.82886809383412,79.01138211382114,95.83467872134324
2023-03-09,83.30812013348165,73.51365209588513,77.5479674796748,95.0920245398773
2023-03-10,82.08231368186874,72.49327009357775,76.26666666666667,93.57442686470779
2023-03-13,81.96440489432703,73.03679015510832,76.25365853658536,95.02744591540201
2023-03-14,83.31479421579533,74.70837072170234,78.57560975609756,96.28672909267033
2023-03-15,82.8075639599555,75.08524548134854,77.60650406504065,97.54601226993866
2023-03-16,84.24026696329254,77.0824253300859,80.70243902439024,98.22408782692929
2023-03-17,83.2992213570634,76.71067811818996,80.39674796747967,97.25540845979981
2023-03-20,84.03781979977754,76.93372644532752,81.06666666666666,98.0303519535034
2023-03-21,85.17018909899889,78.06435072426612,81.31382113821138,95.99612528253148
2023-03-22,83.74193548387096,77.01320343545699,80.8780487804878,94.15563448498547
2023-03-23,83.97775305895439,77.93616203050891,83.08943089430895,93.21924443009364
